champion,bot,jng,mid,sup,top
Ahri,0.0,0.0,2.449489742783178,0.0,0.0
Akali,0.0,0.0,1.0,0.0,0.0
Aphelios,2.6457513110645907,0.0,0.0,0.0,0.0
Azir,0.0,0.0,1.4142135623730951,0.0,0.0
Bard,0.0,0.0,0.0,1.0,0.0
Braum,0.0,0.0,0.0,1.4142135623730951,0.0
Caitlyn,1.0,0.0,0.0,0.0,0.0
Camille,0.0,0.0,0.0,0.0,1.4142135623730951
Corki,0.0,0.0,2.449489742783178,0.0,0.0
Draven,1.7320508075688772,0.0,0.0,0.0,0.0
Ezreal,1.0,0.0,0.0,0.0,0.0
Galio,0.0,0.0,0.0,1.0,0.0
Gangplank,0.0,0.0,0.0,0.0,2.449489742783178
Gnar,0.0,0.0,0.0,0.0,2.23606797749979
Graves,0.0,0.0,0.0,0.0,1.4142135623730951
Gwen,0.0,0.0,0.0,0.0,2.8284271247461903
Hecarim,0.0,1.0,0.0,0.0,0.0
Irelia,0.0,0.0,0.0,0.0,1.4142135623730951
Janna,0.0,0.0,0.0,1.0,0.0
Jarvan IV,0.0,2.0,0.0,0.0,0.0
Jax,0.0,0.0,0.0,0.0,1.0
Jayce,0.0,0.0,0.0,0.0,1.4142135623730951
Jinx,3.4641016151377544,0.0,0.0,0.0,0.0
Kai'Sa,0.0,0.0,1.0,0.0,0.0
Kalista,1.4142135623730951,0.0,0.0,0.0,0.0
Kayle,0.0,0.0,0.0,0.0,1.0
Kennen,0.0,0.0,0.0,0.0,1.0
Kled,0.0,0.0,0.0,0.0,1.4142135623730951
LeBlanc,0.0,0.0,1.7320508075688772,0.0,0.0
Lee Sin,0.0,2.0,0.0,0.0,0.0
Leona,0.0,0.0,0.0,1.7320508075688772,0.0
Lissandra,0.0,0.0,2.6457513110645907,0.0,0.0
Lucian,2.0,0.0,0.0,0.0,0.0
Lulu,0.0,0.0,0.0,2.23606797749979,0.0
Lux,0.0,0.0,0.0,1.4142135623730951,0.0
Malphite,0.0,0.0,0.0,0.0,1.4142135623730951
Malzahar,0.0,0.0,1.0,0.0,0.0
Mordekaiser,0.0,0.0,0.0,0.0,1.0
Nami,0.0,0.0,0.0,2.0,0.0
Nautilus,0.0,0.0,0.0,2.0,0.0
Nilah,1.7320508075688772,0.0,0.0,0.0,0.0
Nocturne,0.0,0.0,1.0,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,2.0
Poppy,0.0,1.4142135623730951,0.0,0.0,0.0
Rakan,0.0,0.0,0.0,2.0,0.0
Renata Glasc,0.0,0.0,0.0,1.4142135623730951,0.0
Ryze,0.0,0.0,1.7320508075688772,0.0,0.0
Samira,1.0,0.0,0.0,0.0,0.0
Sejuani,0.0,1.7320508075688772,0.0,0.0,2.0
Senna,1.0,0.0,0.0,0.0,0.0
Sion,0.0,0.0,0.0,0.0,1.4142135623730951
Sivir,2.23606797749979,0.0,0.0,0.0,0.0
Sona,0.0,0.0,1.0,0.0,0.0
Sylas,0.0,0.0,1.0,0.0,0.0
Tahm Kench,0.0,0.0,0.0,1.7320508075688772,0.0
Taliyah,0.0,0.0,2.0,0.0,0.0
Taric,0.0,0.0,0.0,1.0,0.0
Thresh,0.0,0.0,0.0,2.0,0.0
Trundle,0.0,2.449489742783178,0.0,0.0,0.0
Tryndamere,0.0,0.0,0.0,0.0,1.4142135623730951
Twisted Fate,0.0,0.0,2.0,0.0,0.0
Twitch,1.0,0.0,0.0,0.0,0.0
Varus,1.0,0.0,0.0,0.0,0.0
Veigar,0.0,0.0,1.7320508075688772,0.0,0.0
Vex,0.0,0.0,1.0,0.0,0.0
Vi,0.0,1.0,0.0,0.0,0.0
Viego,0.0,2.23606797749979,0.0,0.0,0.0
Viktor,0.0,0.0,1.0,0.0,0.0
Volibear,0.0,2.0,0.0,0.0,0.0
Wukong,0.0,2.8284271247461903,0.0,0.0,0.0
Xayah,1.4142135623730951,0.0,0.0,0.0,0.0
Xin Zhao,0.0,3.0,0.0,0.0,0.0
Yuumi,0.0,0.0,0.0,2.8284271247461903,0.0
Zeri,1.7320508075688772,0.0,1.0,0.0,0.0
Zilean,0.0,0.0,0.0,1.4142135623730951,0.0
