champion,bot,jng,mid,sup,top
Aatrox,0.0,0.0,0.0,0.0,1.0
Ahri,0.0,0.0,2.0,0.0,0.0
Akali,0.0,0.0,2.6457513110645907,0.0,0.0
Alistar,0.0,0.0,0.0,1.0,0.0
Amumu,0.0,0.0,0.0,1.4142135623730951,0.0
Aphelios,2.8284271247461903,0.0,0.0,0.0,0.0
Braum,0.0,0.0,0.0,1.7320508075688772,0.0
Camille,0.0,0.0,0.0,0.0,2.449489742783178
Cassiopeia,0.0,0.0,1.0,0.0,0.0
Corki,0.0,0.0,2.449489742783178,0.0,0.0
Diana,0.0,1.4142135623730951,0.0,0.0,0.0
Ezreal,1.0,0.0,0.0,0.0,0.0
Fiora,0.0,0.0,0.0,0.0,1.0
Gnar,0.0,0.0,0.0,0.0,3.1622776601683795
Gragas,0.0,0.0,0.0,0.0,1.0
Graves,0.0,0.0,0.0,0.0,1.4142135623730951
Gwen,0.0,0.0,0.0,0.0,2.6457513110645907
Hecarim,0.0,1.4142135623730951,0.0,0.0,0.0
Irelia,0.0,0.0,0.0,0.0,1.0
Jarvan IV,0.0,1.4142135623730951,0.0,0.0,0.0
Jax,0.0,0.0,0.0,0.0,1.4142135623730951
Jayce,0.0,0.0,0.0,0.0,1.4142135623730951
Jhin,2.0,0.0,0.0,0.0,0.0
Jinx,3.3166247903554,0.0,0.0,0.0,0.0
Kai'Sa,1.4142135623730951,0.0,0.0,0.0,0.0
Kennen,0.0,0.0,0.0,0.0,1.0
LeBlanc,0.0,0.0,2.0,0.0,0.0
Lee Sin,0.0,3.4641016151377544,0.0,0.0,0.0
Leona,0.0,0.0,0.0,3.4641016151377544,0.0
Lillia,0.0,1.0,0.0,0.0,0.0
Lulu,0.0,0.0,0.0,1.7320508075688772,0.0
Nautilus,0.0,0.0,0.0,2.6457513110645907,0.0
Orianna,0.0,0.0,1.4142135623730951,0.0,0.0
Ornn,0.0,0.0,0.0,0.0,2.8284271247461903
Poppy,0.0,2.449489742783178,0.0,0.0,0.0
Rakan,0.0,0.0,0.0,2.23606797749979,0.0
Renata Glasc,0.0,0.0,0.0,1.7320508075688772,0.0
Renekton,0.0,0.0,0.0,0.0,2.0
Ryze,0.0,0.0,1.0,0.0,0.0
Sejuani,0.0,1.7320508075688772,0.0,0.0,2.0
Senna,1.4142135623730951,0.0,0.0,0.0,0.0
Shyvana,0.0,0.0,0.0,0.0,1.0
Sivir,3.0,0.0,0.0,0.0,0.0
Skarner,0.0,1.4142135623730951,0.0,0.0,0.0
Soraka,0.0,0.0,0.0,1.0,0.0
Sylas,0.0,0.0,3.3166247903554,0.0,0.0
Syndra,0.0,0.0,1.7320508075688772,0.0,0.0
Tahm Kench,0.0,0.0,0.0,2.0,0.0
Taliyah,0.0,0.0,1.4142135623730951,0.0,0.0
Thresh,0.0,0.0,0.0,2.23606797749979,0.0
Trundle,0.0,2.0,0.0,0.0,0.0
Twitch,1.0,0.0,0.0,0.0,0.0
Vex,0.0,0.0,1.0,0.0,0.0
Vi,0.0,1.4142135623730951,0.0,0.0,0.0
Viego,0.0,2.449489742783178,0.0,0.0,0.0
Viktor,0.0,0.0,1.7320508075688772,0.0,0.0
Wukong,0.0,1.7320508075688772,0.0,0.0,0.0
Xayah,2.0,0.0,0.0,0.0,0.0
Xin Zhao,0.0,2.449489742783178,0.0,0.0,0.0
Yasuo,0.0,0.0,1.4142135623730951,0.0,0.0
Yuumi,0.0,0.0,0.0,2.23606797749979,0.0
Zeri,3.0,0.0,0.0,0.0,0.0
Zoe,0.0,0.0,2.0,0.0,0.0
